id,theme_a,theme_b,difficulty,category,reversible
27,Musique pour te sentir jeune et prêt à tout,Musique pour retrouver la tendresse de ton enfance,1,Émotions,TRUE
28,Musique pour préparer ta revanche contre un rival,Musique pour prouver à tes proches que tu peux réussir,3,Émotions,TRUE
29,Musique pour dire « laissez-moi tranquille »,Musique pour dire « ne me laissez pas seul »,1,Émotions,TRUE
30,Musique pour accepter une rupture que tu n’as pas choisie,Musique pour refuser de croire que ta rupture est définitive,2,Émotions,TRUE
31,Musique pour un premier rendez-vous,Musique pour une soirée romantique après plusieurs années ensemble,3,Relations,TRUE
32,Musique pour tomber amoureux sans l’avoir prévu,Musique pour résister à une attirance qui complique tout,2,Relations,TRUE
33,Musique pour rêver à quelqu’un qui ne te connaît pas encore,Musique quand la personne qui te plaît te propose enfin un rendez-vous,2,Relations,TRUE
34,Musique quand tu attends une réponse à ta déclaration,Musique quand on répond à ta déclaration « je préfère qu’on reste amis »,2,Relations,TRUE
35,Musique quand tu veux récupérer ton ex,Musique quand tu veux définitivement oublier ton ex,1,Relations,TRUE
36,Musique pour déclarer tes sentiments,Musique quand tu gardes tes sentiments pour toi,2,Relations,TRUE
37,Musique pour une relation secrète,Musique pour une relation à distance,3,Relations,TRUE
38,Musique quand quelqu’un te manque,Musique quand tu vas enfin revoir quelqu’un qui te manque,2,Relations,TRUE
39,Musique après une dispute de couple,Musique après une réconciliation,1,Relations,TRUE
40,Musique quand tu réalises que la relation est finie,Musique quand tu essaies encore de sauver la relation,3,Relations,TRUE
41,Musique pour danser un slow les yeux dans les yeux,Musique pour flirter en dansant sur une piste bondée,1,Relations,TRUE
42,Musique quand tu regardes les anciennes photos de ton couple,Musique quand tu supprimes les anciennes photos de ton couple,2,Relations,TRUE
43,Musique pour un amour que vos familles refusent,Musique pour un amour qui n’est pas réciproque,2,Relations,TRUE
44,Musique pour un coup de foudre avec un inconnu,Musique pour retrouver ton amour de jeunesse après des années,3,Relations,TRUE
45,Musique quand tu apprends que la personne qui te plaît est célibataire,Musique quand tu apprends que la personne qui te plaît va bientôt déménager loin,2,Relations,TRUE
46,Musique pour tenter de séduire sans trop en faire,Musique pour célébrer votre première nuit ensemble,2,Relations,TRUE
47,Musique pour envoyer « tu me manques » à ton ex à 2 h du matin,Musique quand tu regrettes au réveil d’avoir écrit à ton ex pendant la nuit,3,Relations,TRUE
48,Musique quand tu veux dire « reste »,Musique quand tu veux dire « pars »,1,Relations,TRUE
49,Musique quand tu croises ton ex par hasard,Musique quand tu te prépares à revoir ton ex pour le reconquérir,2,Relations,TRUE
50,Musique pour un amour d’été,Musique pour une histoire qui dure depuis des années,1,Relations,TRUE
51,Musique pour célébrer un amour réciproque,Musique pour rêver d’un amour que tu n’as pas encore rencontré,3,Relations,TRUE
52,Musique quand tu découvres une infidélité,Musique quand tu cherches des indices sans savoir si tu te trompes,3,Relations,TRUE
53,Musique quand tu pardonnes quelqu’un,Musique quand tu décides de couper les ponts,1,Relations,TRUE
54,Musique pour l’entrée des mariés devant leurs invités,Musique pour une demande en mariage en tête-à-tête,2,Relations,TRUE
55,Musique pour un dîner très sage avec tes beaux-parents,Musique pour une escapade romantique loin de toute la famille,1,Relations,TRUE
56,Musique pour demander pardon après avoir blessé ton partenaire,Musique quand ton partenaire te donne une seconde chance,3,Relations,TRUE
57,Musique pour provoquer la jalousie de ton ex en soirée,Musique pour faire semblant de ne pas être jaloux en soirée,3,Relations,TRUE
58,Musique pour une relation passionnelle,Musique pour une relation apaisante,1,Relations,TRUE
59,Musique pour avouer ton amour à ton meilleur ami,Musique pour expliquer à ton meilleur ami amoureux de toi que tu préfères rester amis,2,Relations,TRUE
60,Musique pour laisser un dernier message d’adieu,Musique pour laisser un message qui invite à se revoir,2,Relations,TRUE
61,Musique pour commencer une soirée,Musique pour finir une soirée à 5 h du matin,1,Soirée & social,TRUE
62,Musique pour une soirée entre amis à la maison,Musique pour une grosse soirée en boîte,1,Soirée & social,TRUE
63,Musique pour un apéro tranquille,Musique pour le moment où le salon se transforme en piste de danse,2,Soirée & social,TRUE
64,Musique pour entraîner toute la piste dans une danse collective,Musique pour faire ton solo au milieu d’un cercle d’amis,3,Soirée & social,TRUE
65,Musique pour accueillir les invités avec élégance,Musique pour convaincre tes invités de rester pour un dernier verre,2,Soirée & social,TRUE
66,Musique pour réveiller une piste de danse qui se vide,Musique pour calmer une piste de danse devenue trop agitée,2,Soirée & social,TRUE
67,Musique pour une réception en tenue de soirée,Musique pour une fête improvisée dans un garage,1,Soirée & social,TRUE
68,Musique pour souffler les bougies avec tes proches,Musique pour lever un trophée avec ton équipe,2,Soirée & social,TRUE
69,Musique quand tout le monde chante ensemble,Musique quand tout le monde se met à danser,2,Soirée & social,TRUE
70,Musique pour danser pieds nus autour d’un feu de plage,Musique pour danser sur une plage transformée en club,1,Soirée & social,TRUE
71,Musique pour une fête sur le thème du disco,Musique pour une fête sur le thème du rock’n’roll,1,Soirée & social,TRUE
72,Musique pour une soirée de retrouvailles avec ta bande du lycée,Musique pour briser la glace entre des invités qui ne se connaissent pas,2,Soirée & social,TRUE
73,Musique pour imposer ton morceau préféré à toute la soirée,Musique pour passer un morceau qui fait plaisir à tout le monde,2,Soirée & social,TRUE
74,Musique pour faire chanter une salle dès les premières secondes,Musique pour surprendre une salle avec un morceau inattendu mais dansant,2,Soirée & social,TRUE
75,Musique pour lancer une danse en couple,Musique pour lancer une ronde avec tous tes amis,2,Soirée & social,TRUE
76,Musique pour une soirée consacrée aux tubes de votre adolescence,Musique pour une soirée consacrée aux découvertes musicales récentes,1,Soirée & social,TRUE
77,Musique pour une fête familiale,Musique pour une soirée uniquement entre potes,1,Soirée & social,TRUE
78,Musique pour un dîner dans un bar à jazz,Musique pour une soirée dansante dans un club de jazz,2,Soirée & social,TRUE
79,Musique pour un barbecue animé entre amis,Musique pour un dîner aux chandelles entre amis,2,Soirée & social,TRUE
80,Musique pour un karaoké où l’on chante faux sans complexe,Musique pour un concours de chant où tu veux impressionner le jury,2,Soirée & social,TRUE
81,Musique pour faire une entrée remarquée à une fête,Musique pour quitter une fête en gardant une allure mystérieuse,2,Soirée & social,TRUE
82,Musique pour flirter au comptoir d’un bar,Musique pour refaire le monde au comptoir avec un vieil ami,2,Soirée & social,TRUE
83,Musique quand la soirée devient incontrôlable,Musique quand la soirée retombe doucement,1,Soirée & social,TRUE
84,Musique pour révéler une fête surprise quand la personne entre,Musique pour cacher les préparatifs d’une fête surprise juste avant l’arrivée de l’invité,2,Soirée & social,TRUE
85,Musique quand l’ami que tu attendais arrive enfin à la fête,Musique pour profiter d’une fête malgré l’absence de ton meilleur ami,2,Soirée & social,TRUE
86,Musique pour conduire seul la nuit,Musique pour conduire avec tes amis en plein jour,1,Voyage & route,TRUE
87,Musique pour partir en vacances,Musique pour rentrer de vacances,1,Voyage & route,TRUE
88,Musique pour avaler les kilomètres sur une autoroute déserte,Musique pour flâner en décapotable dans une station balnéaire,2,Voyage & route,TRUE
89,Musique quand tu roules fenêtres ouvertes,Musique quand tu conduis sous la pluie,1,Voyage & route,TRUE
90,Musique pour traverser une grande ville illuminée,Musique pour traverser une plaine déserte à la tombée du jour,2,Voyage & route,TRUE
91,Musique pour quitter ta ville sans date de retour,Musique pour rentrer chez toi après des années à l’étranger,2,Voyage & route,TRUE
92,Musique quand tout le monde dort dans la voiture sauf toi,Musique quand tout le monde chante dans la voiture,1,Voyage & route,TRUE
93,Musique pour rouler à vitesse régulière sur l’autoroute,Musique pour enchaîner les virages d’une route de montagne,2,Voyage & route,TRUE
94,Musique pour contempler le paysage à bord d’un train,Musique pour une scène de train lancé à toute vitesse dans un film,2,Voyage & route,TRUE
95,Musique pour arriver dans un village de bord de mer,Musique pour arriver dans un refuge de haute montagne,2,Voyage & route,TRUE
96,Musique pour voyager en stop avec un sac à dos,Musique pour traverser le pays dans un train de luxe,2,Voyage & route,TRUE
97,Musique pour regarder la terre disparaître au décollage,Musique pour regarder la campagne défiler depuis un vieux train,2,Voyage & route,TRUE
98,Musique pour attendre un vol de nuit dans un terminal presque vide,Musique pour l’instant où l’avion traverse les nuages,2,Voyage & route,TRUE
99,Musique pour découvrir une ville où personne ne te connaît,Musique pour retrouver la ville où tu as grandi,2,Voyage & route,TRUE
100,Musique pour marcher dans les rues de Paris sous la pluie,Musique pour marcher dans les rues de New York la nuit,2,Voyage & route,TRUE
101,Musique pour une première nuit en auberge de jeunesse,Musique pour une première nuit dans un palace,2,Voyage & route,TRUE
102,Musique quand tu pars très tôt le matin,Musique quand tu arrives très tard le soir,2,Voyage & route,TRUE
103,Musique pour regarder le coucher du soleil depuis la voiture,Musique pour regarder les lumières de la ville depuis la voiture,3,Voyage & route,TRUE
104,Musique pour une traversée en voilier au grand large,Musique pour une balade en barque sur une rivière,2,Voyage & route,TRUE
105,Musique quand tu te perds mais que ça ne te dérange pas,Musique quand tu te perds et que tu commences à paniquer,2,Voyage & route,TRUE
106,Musique pour quitter le port à bord d’un paquebot,Musique pour débarquer sur une île déserte,2,Voyage & route,TRUE
107,Musique pour franchir une frontière vers un pays inconnu,Musique pour apercevoir ton village au bout de la route,2,Voyage & route,TRUE
108,Musique pour une expédition dans le désert,Musique pour une exploration dans la jungle,1,Voyage & route,TRUE
109,Musique pour flâner sur le sable d’une île tropicale,Musique pour flâner dans les ruelles d’une vieille ville italienne,2,Voyage & route,TRUE
110,Musique pour contempler un océan sans terre à l’horizon,Musique pour flotter au-dessus d’une mer de nuages,3,Voyage & route,TRUE
111,Musique pour ouvrir les fenêtres un matin d’été,Musique pour traîner dehors pendant une nuit d’été,2,Saisons & météo,TRUE
112,Musique pour une journée de pluie,Musique pour une nuit d’orage,2,Saisons & météo,TRUE
113,Musique pour la première baignade de l’été,Musique pour le dernier feu de camp de l’été,2,Saisons & météo,TRUE
114,Musique pour regarder la neige tomber depuis un chalet,Musique pour faire une bataille de boules de neige,1,Saisons & météo,TRUE
115,Musique pour les premières fleurs du printemps,Musique pour les dernières soirées de l’été,2,Saisons & météo,TRUE
116,Musique pour un brunch tranquille le dimanche,Musique pour un apéro du vendredi après le travail,2,Saisons & météo,TRUE
117,Musique pour affronter le lundi matin malgré la fatigue,Musique pour accompagner le petit blues du dimanche soir,2,Saisons & météo,TRUE
118,Musique pour un lever de soleil,Musique pour un coucher de soleil,3,Saisons & météo,TRUE
119,Musique pour une nuit d’été où la chaleur empêche de dormir,Musique pour une nuit d’hiver au chaud sous la couette,2,Saisons & météo,TRUE
120,Musique pour regarder la pluie depuis ton canapé,Musique pour danser sous la pluie sans chercher d’abri,1,Saisons & météo,TRUE
121,Musique pour accueillir une éclaircie après des jours de pluie,Musique pour profiter d’un ciel d’orage avant qu’il éclate,2,Saisons & météo,TRUE
122,Musique pour une soirée d’hiver,Musique pour une soirée d’été,1,Saisons & météo,TRUE
123,Musique pour voir les feuilles tomber en automne,Musique pour voir les arbres refleurir au printemps,2,Saisons & météo,TRUE
124,Musique pour un après-midi au soleil,Musique pour une soirée sous les étoiles,2,Saisons & météo,TRUE
125,Musique pour traverser une ville écrasée par la canicule,Musique pour traverser une ville figée par le gel,1,Saisons & météo,TRUE
126,Musique pour un marché de Noël animé,Musique pour un paysage enneigé sans personne à l’horizon,1,Saisons & météo,TRUE
127,Musique pour te réveiller doucement avant l’aube,Musique pour garder de l’énergie pendant une nuit de travail,2,Quotidien,TRUE
128,Musique pour une sieste d’été,Musique pour une nuit d’insomnie,2,Saisons & météo,TRUE
129,Musique pour le compte à rebours du Nouvel An,Musique pour un toast émouvant à ton anniversaire,2,Soirée & social,TRUE
130,Musique pour ressortir danser aux premiers beaux jours,Musique pour rentrer se réchauffer quand l’hiver arrive,2,Saisons & météo,TRUE
131,Musique pour un vent léger dans les arbres,Musique pour des rafales qui font claquer les volets,2,Saisons & météo,TRUE
132,Musique pour glisser sur des vagues en surf,Musique pour glisser sur une piste de ski,2,Saisons & météo,TRUE
133,Musique pour un pique-nique à l’ombre des arbres,Musique pour un goûter près de la cheminée,2,Saisons & météo,TRUE
134,Musique pour un matin brumeux au bord d’un lac,Musique pour un après-midi de soleil au bord d’un lac,2,Saisons & météo,TRUE
135,Musique pour les lumières d’une fête foraine en été,Musique pour les lumières de Noël dans une rue enneigée,1,Saisons & météo,TRUE
136,Musique pour cuisiner en dansant dans ta cuisine,Musique pour savourer un repas sans te presser,1,Quotidien,TRUE
137,Musique pour faire le ménage en chantant à tue-tête,Musique pour récupérer sur le canapé après le ménage,1,Quotidien,TRUE
138,Musique pour prendre une longue douche,Musique pour se préparer rapidement,2,Quotidien,TRUE
139,Musique pour déambuler dans un marché de quartier,Musique pour faire les courses juste avant la fermeture,2,Quotidien,TRUE
140,Musique pour marcher sans destination,Musique pour marcher parce que tu es en retard,1,Quotidien,TRUE
141,Musique pour trier une boîte de vieux souvenirs,Musique pour repeindre ta chambre dans une couleur éclatante,2,Quotidien,TRUE
142,Musique pour préparer un petit-déjeuner au soleil,Musique pour cuisiner un dîner de séduction,2,Quotidien,TRUE
143,Musique pour boire ton premier café,Musique pour prendre ton dernier verre de la journée,2,Quotidien,TRUE
144,Musique pour transformer ton salon en spa,Musique pour transformer ton salon en salle de danse,1,Quotidien,TRUE
145,Musique pour te sentir riche le jour de la paie,Musique pour te croire encore riche avec dix euros sur ton compte,2,Quotidien,TRUE
146,Musique pour aller faire des achats,Musique quand tu regrettes tes achats,2,Quotidien,TRUE
147,Musique pour choisir une tenue comme si tu défilais,Musique pour t’habiller en deux minutes avant de partir,2,Quotidien,TRUE
148,Musique pour attendre un ami dans un café,Musique pour accueillir un ami après des mois sans le voir,2,Quotidien,TRUE
149,Musique pour retrouver une lettre que tu croyais perdue,Musique pour chercher une lettre précieuse dans toute la maison,2,Quotidien,TRUE
150,Musique pour monter un meuble comme un grand architecte,Musique pour contempler ton meuble qui penche dangereusement,2,Humour,TRUE
151,Musique pour cuisiner un repas comme dans une finale de concours,Musique pour servir une pizza livrée comme un grand chef,2,Humour,TRUE
152,Musique pour promener un chien qui tire sur sa laisse,Musique pour caresser un chat endormi sur tes genoux,1,Quotidien,TRUE
153,Musique pour te plonger dans un roman policier,Musique pour feuilleter un magazine sans vraiment lire,2,Quotidien,TRUE
154,Musique pour faire une pause,Musique pour se remettre au travail,2,Quotidien,TRUE
155,Musique pour ouvrir un colis que tu attends depuis des mois,Musique pour emballer un objet précieux que tu dois renvoyer,2,Quotidien,TRUE
156,Musique pour te garer comme une star devant l’entrée,Musique pour manœuvrer dans une place beaucoup trop étroite,2,Humour,TRUE
157,Musique pour patienter chez le coiffeur,Musique pour découvrir ta nouvelle coupe dans le miroir,2,Quotidien,TRUE
158,Musique pour aller travailler dans un métro bondé,Musique pour rentrer dans le dernier métro presque vide,2,Quotidien,TRUE
159,Musique pour profiter de la maison vide pendant une heure,Musique pour un dimanche où toute la famille cuisine ensemble,2,Quotidien,TRUE
160,Musique pour préparer ton premier appartement avant la crémaillère,Musique pour passer ta première soirée seul dans ton nouvel appartement,2,Quotidien,TRUE
161,Musique pour chercher ton téléphone comme un détective,Musique pour découvrir que le téléphone que tu cherchais était dans ta main,2,Humour,TRUE
162,Musique pour négocier avec une imprimante récalcitrante,Musique pour célébrer l’unique page qu’une imprimante en panne accepte d’imprimer,2,Humour,TRUE
163,Musique pour ouvrir un cadeau avec curiosité,Musique pour fabriquer un cadeau à la main avec tendresse,2,Quotidien,TRUE
164,Musique quand tu retrouves un vieux vêtement que tu adores,Musique quand tu dois jeter un vêtement que tu adores,3,Quotidien,TRUE
165,Musique pour rester au lit le matin,Musique pour réussir à sortir du lit,1,Quotidien,TRUE
166,Musique pour commencer une séance de sport en douceur,Musique pour tenir les dernières répétitions quand les muscles brûlent,2,Sport & motivation,TRUE
167,Musique pour courir tranquillement,Musique pour sprinter à fond,1,Sport & motivation,TRUE
168,Musique avant une compétition,Musique après avoir gagné une compétition,2,Sport & motivation,TRUE
169,Musique après une défaite,Musique avant de prendre ta revanche,2,Sport & motivation,TRUE
170,Musique pour soulever lourd,Musique pour faire une longue séance cardio,1,Sport & motivation,TRUE
171,Musique pour une séance de boxe sur un sac,Musique pour une séance de danse cardio en groupe,1,Sport & motivation,TRUE
172,Musique pour te motiver à faire du sport malgré la fatigue,Musique pour accompagner une séance où tu te sens inarrêtable,2,Sport & motivation,TRUE
173,Musique pour un tour d’honneur devant les supporters,Musique pour une remise de médaille officielle,2,Sport & motivation,TRUE
174,Musique pour trouver ton équilibre sur une poutre,Musique pour prendre ton élan avant un saut en longueur,1,Sport & motivation,TRUE
175,Musique pour battre ton record,Musique pour reprendre après une longue pause,3,Sport & motivation,TRUE
176,Musique pour courir en forêt loin de la ville,Musique pour courir dans une rue éclairée au néon,2,Sport & motivation,TRUE
177,Musique pour encourager ton équipe qui doit égaliser,Musique pour encourager ton équipe à conserver son avance,2,Sport & motivation,TRUE
178,Musique pour une démonstration de gymnastique élégante,Musique pour une démonstration de skateboard dans la rue,1,Sport & motivation,TRUE
179,Musique pour marcher longtemps sur un sentier de randonnée,Musique pour gravir la dernière pente avant le sommet,2,Sport & motivation,TRUE
180,Musique pour récupérer après l’effort,Musique pour trouver l’énergie de recommencer,2,Sport & motivation,TRUE
181,Musique pour entrer sur un ring de boxe,Musique pour quitter le ring après un combat épuisant,2,Sport & motivation,TRUE
182,Musique pour disputer une finale devant un stade plein,Musique pour jouer un match amical dans ton quartier,2,Sport & motivation,TRUE
183,Musique quand tu es favori,Musique quand personne ne croit en toi,3,Sport & motivation,TRUE
184,Musique quand tu domines complètement,Musique quand tu refuses d’abandonner,3,Sport & motivation,TRUE
185,Musique pour ramer tous ensemble dans un bateau,Musique pour naviguer seul en planche à voile,2,Sport & motivation,TRUE
186,Musique pour pédaler au milieu du rythme de la ville,Musique pour pédaler tranquillement sur un chemin de campagne,2,Sport & motivation,TRUE
187,Musique pour une chorégraphie de natation synchronisée,Musique pour une course d’aviron,2,Sport & motivation,TRUE
188,Musique pour un cours de yoga dynamique,Musique pour des étirements profonds après le sport,3,Sport & motivation,TRUE
189,Musique pour intimider ton adversaire avant un duel,Musique pour te rassurer toi-même avant un duel,3,Sport & motivation,TRUE
190,Musique pour une figure de patinage artistique,Musique pour une descente en patinage de vitesse,2,Sport & motivation,TRUE
191,Musique pour organiser calmement ta journée de travail,Musique pour finir un dossier dix minutes avant l’échéance,2,Travail & études,TRUE
192,Musique pour réviser méthodiquement un mois avant l’examen,Musique pour réviser dans la panique la veille de l’examen,1,Travail & études,TRUE
193,Musique avant un entretien,Musique après un entretien qui s’est bien passé,2,Travail & études,TRUE
194,Musique pour chercher la solution d’une énigme compliquée,Musique pour savourer le moment où tu résous une énigme compliquée,2,Travail & études,TRUE
195,Musique pour dessiner seul dans ton carnet,Musique pour présenter tes créations lors d’un vernissage,2,Travail & études,TRUE
196,Musique pour rêvasser en regardant la pluie au bureau,Musique pour reprendre discrètement un dossier quand le chef arrive,2,Travail & études,TRUE
197,Musique pour ouvrir le bureau un lundi matin,Musique pour fermer le bureau avant les grandes vacances,2,Travail & études,TRUE
198,Musique pour envoyer enfin le projet sur lequel tu travailles depuis des mois,Musique pour reprendre un projet de longue haleine après un refus,2,Travail & études,TRUE
199,Musique pour préparer une présentation avec concentration,Musique pour faire une entrée assurée devant le public,2,Travail & études,TRUE
200,Musique pour ouvrir le sujet d’un examen difficile,Musique pour poser enfin ton stylo après la dernière question d’un examen,2,Travail & études,TRUE
201,Musique pour une bibliothèque silencieuse,Musique pour travailler dans un café animé,2,Travail & études,TRUE
202,Musique pour écrire une lettre d’amour,Musique pour écrire un discours de protestation,2,Travail & études,TRUE
203,Musique pour avancer sans interruption sur ton travail,Musique pour remettre ton travail à plus tard sans culpabiliser,2,Travail & études,TRUE
204,Musique pour célébrer une bonne note obtenue à force de travail,Musique pour rire d’une mauvaise note que tu avais vue venir,2,Travail & études,TRUE
205,Musique pour commencer le métier dont tu rêvais,Musique pour quitter un métier qui ne te correspond plus,2,Travail & études,TRUE
206,Musique pour travailler dans un atelier d’artiste en désordre,Musique pour travailler dans un laboratoire impeccable,2,Travail & études,TRUE
207,Musique pour entrer dans une réunion comme si tu dirigeais l’entreprise,Musique pour hocher la tête en réunion sans comprendre un mot,2,Humour,TRUE
208,Musique pour apprendre tes premiers pas de danse,Musique pour répéter une chorégraphie que tu maîtrises parfaitement,2,Travail & études,TRUE
209,Musique pour fermer ton ordinateur après une journée intense,Musique pour préparer ton sac avant une journée décisive,2,Travail & études,TRUE
210,Musique pour inventer une idée qui te passionne,Musique pour classer une pile de dossiers sans réfléchir,2,Travail & études,TRUE
211,Musique pour attendre les résultats d’un concours,Musique pour défiler lors de la remise des diplômes,2,Travail & études,TRUE
212,Musique pour travailler toute la nuit,Musique quand tu décides finalement d’aller dormir,1,Travail & études,TRUE
213,Musique pour convaincre un jury de croire en ton idée,Musique pour remercier ceux qui ont cru en ton idée,2,Travail & études,TRUE
214,Musique pour ton premier jour dans une nouvelle école,Musique pour dire au revoir à ta classe en fin d’année,2,Travail & études,TRUE
215,Musique pour un travail minutieux d’horloger,Musique pour une équipe de chantier qui bâtit un immeuble,1,Travail & études,TRUE
216,Musique pour l’entrée du héros,Musique pour l’entrée du méchant,1,Cinéma & imaginaire,TRUE
217,Musique pour une scène de victoire,Musique pour une scène de revanche,2,Cinéma & imaginaire,TRUE
218,Musique pour le générique d’ouverture d’un film d’aventure,Musique pour le générique de fin d’un film d’aventure,2,Cinéma & imaginaire,TRUE
219,Musique pour une poursuite en voiture sur une autoroute,Musique pour une fuite à pied dans des ruelles étroites,3,Cinéma & imaginaire,TRUE
220,Musique pour découvrir un monde fantastique,Musique pour quitter un monde fantastique,2,Cinéma & imaginaire,TRUE
221,Musique pour un combat final entre deux rivaux,Musique pour les regards silencieux de deux rivaux juste avant leur combat,2,Cinéma & imaginaire,TRUE
222,Musique pour une scène d’action au ralenti,Musique pour un montage d’entraînement très rapide,1,Cinéma & imaginaire,TRUE
223,Musique pour un super-héros qui sauve la ville,Musique pour un hors-la-loi qui sauve la ville à sa manière,2,Cinéma & imaginaire,TRUE
224,Musique pour un personnage qui accède au pouvoir,Musique pour un personnage qui s’accroche au pouvoir qu’il perd,2,Cinéma & imaginaire,TRUE
225,Musique pour un royaume magnifique,Musique pour un royaume en ruines,1,Cinéma & imaginaire,TRUE
226,Musique pour dériver entre les étoiles,Musique pour descendre dans les profondeurs de l’océan,3,Cinéma & imaginaire,TRUE
227,Musique pour une découverte incroyable,Musique pour une révélation inquiétante,2,Cinéma & imaginaire,TRUE
228,Musique pour un premier baiser au cinéma,Musique pour un dernier baiser avant une séparation au cinéma,2,Cinéma & imaginaire,TRUE
229,Musique pour un générique d’anime plein d’énergie,Musique pour une scène de sacrifice héroïque dans un anime,2,Cinéma & imaginaire,TRUE
230,Musique pour un héros qui découvre ses pouvoirs avec émerveillement,Musique pour un héros qui perd le contrôle de ses pouvoirs,2,Cinéma & imaginaire,TRUE
231,Musique pour explorer une ville futuriste,Musique pour explorer une ville abandonnée,1,Cinéma & imaginaire,TRUE
232,Musique pour une mission secrète,Musique pour une mission de sauvetage,2,Cinéma & imaginaire,TRUE
233,Musique pour un braquage parfaitement préparé,Musique pour un braquage qui tourne mal,1,Cinéma & imaginaire,TRUE
234,Musique pour chercher la source d’un bruit dans une maison vide,Musique pour fuir une créature qui vient d’apparaître dans une maison vide,1,Cinéma & imaginaire,TRUE
235,Musique pour un inconnu fascinant dont on ignore les intentions,Musique pour un criminel élégant qui inspire la peur,3,Cinéma & imaginaire,TRUE
236,Musique pour un duel entre rivaux,Musique pour un combat entre anciens amis,3,Cinéma & imaginaire,TRUE
237,Musique pour une armée qui avance vers la bataille,Musique pour une armée qui protège sa retraite,2,Cinéma & imaginaire,TRUE
238,Musique pour une victoire obtenue au prix d’un sacrifice,Musique pour une défaite où le héros garde son honneur,2,Cinéma & imaginaire,TRUE
239,Musique pour découvrir une ville du futur,Musique pour découvrir une ville telle qu’elle était cent ans plus tôt,2,Cinéma & imaginaire,TRUE
240,Musique pour un rêve merveilleux qui paraît réel,Musique pour un rêve étrange dont tu cherches à sortir,2,Cinéma & imaginaire,TRUE
241,Musique pour une apocalypse,Musique pour reconstruire le monde après l’apocalypse,2,Cinéma & imaginaire,TRUE
242,Musique pour un détective qui reconstitue le crime,Musique pour un suspect qui invente son alibi,2,Cinéma & imaginaire,TRUE
243,Musique pour une course contre la montre,Musique pour attendre quelque chose d’inévitable,2,Cinéma & imaginaire,TRUE
244,Musique pour ouvrir un coffre contenant un secret de famille,Musique pour cacher un secret de famille avant l’arrivée des autres,3,Cinéma & imaginaire,TRUE
245,Musique pour un justicier solitaire qui veille sur la ville,Musique pour une équipe de justiciers réunie pour la première fois,2,Cinéma & imaginaire,TRUE
246,Musique pour un toit-terrasse au-dessus de la ville la nuit,Musique pour une terrasse face à la mer au coucher du soleil,3,Lieux & ambiances,TRUE
